base_origem,qru_corrida,orgao_nome,orgao_codigo_siorg,orgao_categoria,unidade_administrativa_nome,unidade_administrativa_codigo_siorg,status,motivo,justificativa,km_total,km_rota_calculada,valor_corrida,data_abertura,data_despacho,data_local_embarque,data_inicio,data_final,data_cancelamento,origem_endereco,origem_bairro,origem_cidade,origem_uf,destino_solicitado_endereco,destino_efetivo_endereco,origem_latitude,origem_longitude,destino_solicitado_latitude,destino_solicitado_longitude,destino_efetivo_latitude,destino_efetivo_longitude,avaliacao_usuario_nota,avaliacao_usuario_texto,veiculo_fabricante,veiculo_modelo,veiculo_ano_fabricacao,veiculo_ano_modelo,veiculo_cor,veiculo_placa,ateste_setorial_data,conteste_info,corrida_longa,mes_abertura,origem_cidade_upper
TAXIGOV_DF_ENTIDADES,1364995,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,1812,INDIRETA,DIPLAN/IBAMA,,CONCLUÍDA,Reunião,,5.21,4.897,19.28,2024-07-15 19:14:41.830,2024-07-15 19:14:51.773,2024-07-15 19:15:58.990,2024-07-15 19:16:08.173,2024-07-15 19:24:39.847,,"MINISTERIO DO MEIO AMBIENTE, EIXO MONUMENTAL",,BRASILIA,DF,"Ibama, Brasilia, Distrito Federal","Ibama, Brasilia, Distrito Federal",-15.79859,-47.87243,-15.76624,-47.86238,-15.76553,-47.8627,,,,SIENA,2018.0,2019.0,BRANCA,PBK-**34,,,Não,15,BRASILIA
TAXIGOV_DF_3,1364945,Ministério da Saúde,304,DIRETA,CGSPD/DAET/SAES/MS,,CONCLUÍDA,Reunião,,8.97,8.268,34.8,2024-07-15 17:56:36.747,2024-07-15 17:58:50.943,2024-07-15 18:07:42.373,2024-07-15 18:07:48.450,2024-07-15 18:33:29.660,,SCES TRECHO 2,ASA SUL,BRASILIA,DF,"Edificio PO 700, Asa Norte, Brasilia, DF","Edificio PO 700, Asa Norte, Brasilia, DF",-15.81568,-47.84475,-15.78364,-47.89034,-15.78406,-47.89041,,,,,2020.0,2020.0,,REC-**41,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364943,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,249,INDIRETA,GAB/INEP,,CONCLUÍDA,Reunião,,5.66,5.702,20.89,2024-07-15 17:53:11.057,2024-07-15 17:59:01.870,2024-07-15 18:03:46.220,2024-07-15 18:07:09.583,2024-07-15 18:23:11.040,,MINISTERIO DA EDUCACAO,PA 2,BRASILIA,DF,"INEP - Instituto Nacional de Estudos e Pesquisas Educacionais Anisio Teixeira, SIG Qd. 4, Lt. 327, Sudoeste/Octogonal, Cruzeiro, DF","INEP - Instituto Nacional de Estudos e Pesquisas Educacionais Anisio Teixeira, SIG Qd. 4, Lt. 327, Sudoeste/Octogonal, Cruzeiro, DF",-15.79501,-47.87305,-15.78816,-47.91414,-15.78833,-47.91389,,,,COROLLA,2022.0,2023.0,PRETA,SGO-**68,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364934,Instituto Brasileiro de Museus,100584,INDIRETA,DPMUS,,CONCLUÍDA,Reunião,,6.95,7.145,25.72,2024-07-15 17:27:52.640,2024-07-15 17:29:40.733,2024-07-15 17:39:34.003,2024-07-15 17:40:02.943,2024-07-15 17:51:50.860,,SCES TRECHO 2,ASA SUL,BRASILIA,DF,"Edificio Capes, Asa Norte, Brasilia, DF","Edificio Capes, Asa Norte, Brasilia, DF",-15.81568,-47.84475,-15.78799,-47.87818,-15.78853,-47.87856,,,,VOYAGE,2020.0,2020.0,PRATA,REC-**41,,,Não,15,BRASILIA
TAXIGOV_DF_3,1364832,Ministério do Turismo,72084,DIRETA,GM,,CONCLUÍDA,Reunião,,5.5,5.638,21.34,2024-07-15 16:21:27.553,2024-07-15 16:27:43.113,2024-07-15 16:35:33.637,2024-07-15 16:35:36.133,2024-07-15 16:46:56.750,,"MINISTERIO DO TURISMO (MTUR), ESPLANADA DOS MINISTERIOS, BL. U",ZONA CIVICOADMINISTRATIVA,BRASILIA,DF,"Centro Internacional de Convencoes do Brasil, SCES Trecho 2, Asa Sul, Brasilia, Distrito Federal","Centro Internacional de Convencoes do Brasil, SCES Trecho 2, Asa Sul, Brasilia, Distrito Federal",-15.79631,-47.86798,-15.81569,-47.84475,-15.81526,-47.84532,,,,,2020.0,2020.0,,REC-**41,,,Não,15,BRASILIA
TAXIGOV_DF_3,1364828,Presidência da República,26,DIRETA,DITEC/SA/CC/PR,,CONCLUÍDA,Outros,,12.42,14.665,48.19,2024-07-15 16:17:38.827,2024-07-15 16:18:00.153,2024-07-15 16:24:59.940,2024-07-15 16:26:00.783,2024-07-15 16:37:02.730,,RESIDENCIA OFICIAL DA GRANJA DO TORTO,ZONA INDUSTRIAL,BRASILIA,DF,"Palacio do Planalto, Pca. dos Tres Poderes, ZONA CIVICOADMINISTRATIVA, BRASILIA, DF","VIA N. DOIS LESTE, ASA NORTE, BRASILIA - DF, BRASIL",-15.70542,-47.90573,-15.79941,-47.86088,-15.79693,-47.85817,,,,,2022.0,2023.0,,SGO-**68,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364815,Agência Nacional de Aviação Civil,86144,INDIRETA,SAF/ANAC,,CONCLUÍDA,Reunião,,12.73,11.752,47.1,2024-07-15 16:12:42.100,2024-07-15 16:12:51.400,2024-07-15 16:13:03.733,2024-07-15 16:13:15.077,2024-07-15 16:36:27.253,,"SIA TRECHO 3, CONSELHO DE MEDICINA VETERINARIA",ZONA INDUSTRIAL GUARA,BRASILIA,DF,"MINISTERIO DA SAUDE BL G, - PA 1","EMI BLOCO D, ASA SUL, BRASILIA - DF, BRASIL",-15.80388,-47.95383,-15.80001,-47.86838,-15.79958,-47.87071,,,,CRONOS,2022.0,2023.0,PRATA,SGQ-**74,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364805,Fundação Universidade de Brasília,470,INDIRETA,IH,,CONCLUÍDA,Serviço externo / técnico,,12.97,9.991,47.73,2024-07-15 16:09:49.390,2024-07-15 16:09:59.930,2024-07-15 16:13:43.747,2024-07-15 16:14:06.513,2024-07-15 16:29:30.063,,UBS 1 LAGO NORTE,SETOR DE HABITACOES INDIVIDUAIS NORTE,BRASILIA,DF,"Hospital Universitario de Brasilia, Asa Norte, Brasilia, DF","SGAN 604, ASA NORTE, BRASILIA - DF, 70830-150, BRASIL",-15.72564,-47.87388,-15.77091,-47.87361,-15.77194,-47.87301,,,,LOGAN,2019.0,2020.0,BRANCA,QWT-**02,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364796,Fundação Oswaldo Cruz,315,INDIRETA,NEVS/FIOCRUZ-BSB,,CONCLUÍDA,Reunião,,23.6,23.727,87.32,2024-07-15 16:05:32.367,2024-07-15 16:05:41.917,2024-07-15 16:05:58.950,2024-07-15 16:10:24.077,2024-07-15 16:37:54.980,,UBS 1 SAO SEBASTIAO,CENTRO SAO SEBASTIAO,BRASILIA,DF,"Hospital Universitario de Brasilia - Emergencia, Asa Norte, Brasilia, Distrito Federal","Hospital Universitario de Brasilia - Emergencia, Asa Norte, Brasilia, Distrito Federal",-15.90244,-47.77262,-15.77171,-47.87302,-15.77179,-47.87293,,,,KICKS,2023.0,2023.0,PRETA,SGT-**78,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364787,Agência Nacional de Aviação Civil,86144,INDIRETA,SAF/ANAC,,CONCLUÍDA,Serviço externo / técnico,,11.65,12.378,43.11,2024-07-15 16:02:23.267,2024-07-15 16:02:30.173,2024-07-15 16:02:38.570,2024-07-15 16:03:21.800,2024-07-15 16:16:54.250,,"AEROPORTO ANAC,",AEROPORTO,BRASILIA,DF,"SCS ANAC, - SCS","SCS ANAC, - SCS",-15.8696,-47.93225,-15.79448,-47.89349,-15.79513,-47.89368,,,,COROLLA,2021.0,2022.0,PRETA,REQ-**58,,,Sim,15,BRASILIA
TAXIGOV_DF_3,1364782,Presidência da República,26,DIRETA,DG/IN/CC/PR,,CONCLUÍDA,Reunião,,5.76,5.915,22.35,2024-07-15 16:00:26.467,2024-07-15 16:00:33.463,2024-07-15 16:01:04.063,2024-07-15 16:01:22.433,2024-07-15 16:17:37.407,,"CRS 503 BLOCO B,",ASA SUL,BRASILIA,DF,"SIG IMPRENSA NACIONAL, - PA 31","SIG QUADRA 6, SUDOESTE/OCTOGONAL, CRUZEIRO - DF, 70610-460, BRASIL",-15.80287,-47.89529,-15.79845,-47.92963,-15.79303,-47.91418,,,,,2024.0,2024.0,,SSH-**37,,,Não,15,BRASILIA
TAXIGOV_DF_3,1364776,Advocacia-Geral da União,46,DIRETA,EAGU/AGU,,CONCLUÍDA,Reunião,,6.66,6.745,25.84,2024-07-15 15:57:36.853,2024-07-15 15:57:49.153,2024-07-15 16:03:04.127,2024-07-15 16:03:47.217,2024-07-15 16:20:16.847,,BIBLIOTECA DO SENADO FEDERAL,,BRASILIA,DF,"Advocacia-Geral da Uniao - Sede III, Brasilia, DF","Advocacia-Geral da Uniao - Sede III, Brasilia, DF",-15.79775,-47.86342,-15.79215,-47.9124,-15.7922,-47.91244,,,,,2024.0,2025.0,,SSK-**24,,,Não,15,BRASILIA
TAXIGOV_DF_3,1364772,Presidência da República,26,DIRETA,SECOI/SECOM/PR,,CONCLUÍDA,Reunião,,7.2,6.822,27.94,2024-07-15 15:55:42.880,2024-07-15 15:57:09.183,2024-07-15 16:06:26.077,2024-07-15 16:07:18.573,2024-07-15 16:16:45.620,,"CENTRO INTERNACIONAL DE CONVENCOES DO BRASIL, SCES TRECHO 2",ASA SUL,BRASILIA,DF,"Planalto Bittar - Hotel e Eventos, Asa Sul, Brasilia, Distrito Federal","Planalto Bittar - Hotel e Eventos, Asa Sul, Brasilia, Distrito Federal",-15.81569,-47.84475,-15.79367,-47.88913,-15.79433,-47.88901,,,,,2017.0,2017.0,,PAQ-**53,,,Não,15,BRASILIA
TAXIGOV_DF_3,1364745,Ministério da Saúde,304,DIRETA,CGSA,,CONCLUÍDA,Outros,,14.7,12.162,57.04,2024-07-15 15:42:36.017,2024-07-15 15:42:44.523,2024-07-15 15:43:17.750,2024-07-15 16:14:10.447,2024-07-15 16:32:05.793,,"SIA EDITORA MINISTÉRIO DA SAÚDE,",SETOR INDUSTRIAL,BRASILIA,DF,"ANEXO MINISTERIO DA SAÚDE, - PA 1","ANEXO MINISTERIO DA SAÚDE, - PA 1",-15.80222,-47.95607,-15.80167,-47.86859,-15.80152,-47.86918,,,,,2018.0,2019.0,,PBL-**63,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364743,Agência Nacional de Aviação Civil,86144,INDIRETA,ASTEC/ANAC,,CONCLUÍDA,Transporte de documentos / materiais,,6.99,6.854,25.86,2024-07-15 15:41:57.937,2024-07-15 15:42:05.390,2024-07-15 15:42:17.743,2024-07-15 15:48:09.377,2024-07-15 16:00:45.770,,"SPS POLICIA FEDERAL SUPERINTENDENCIA,",SPS,BRASILIA,DF,"SCS ANAC, - SCS","SCS ANAC, - SCS",-15.82828,-47.93251,-15.79448,-47.89349,-15.79502,-47.89374,,,,CITY,2022.0,2022.0,PRATA,REU-**12,,,Não,15,BRASILIA
TAXIGOV_DF_3,1364742,Ministério do Turismo,72084,DIRETA,CAMP/SPOA/SE,,CONCLUÍDA,Reunião,,11.69,11.615,45.36,2024-07-15 15:41:29.847,2024-07-15 15:41:42.837,2024-07-15 15:46:29.393,2024-07-15 15:47:18.737,2024-07-15 16:06:53.217,,CONCESSIONARIA FORD SLAVIERO SIA,ZONA INDUSTRIAL GUARA,BRASILIA,DF,"Ministerio do Turismo, n bl U, Brasilia, DF","Ministerio do Turismo, n bl U, Brasilia, DF",-15.80773,-47.95312,-15.79689,-47.86823,-15.79732,-47.86833,,,,,2018.0,2019.0,,PBL-**03,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364730,Fundo Nacional de Desenvolvimento da Educação,253,INDIRETA,GABIN/FNDE,,CONCLUÍDA,Reunião,,6.26,7.445,23.16,2024-07-15 15:39:38.047,2024-07-15 15:39:47.700,2024-07-15 15:43:05.647,2024-07-15 15:44:39.987,2024-07-15 15:52:58.080,,"FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO, SBS, 12",ASA SUL,BRASILIA,DF,"Centro Internacional de Convencoes do Brasil, SCES Trecho 2, Asa Sul, Brasilia, Distrito Federal","Centro Internacional de Convencoes do Brasil, SCES Trecho 2, Asa Sul, Brasilia, Distrito Federal",-15.80089,-47.88341,-15.81569,-47.84475,-15.8156,-47.84498,,,,VIRTUS,2019.0,2019.0,PRETA,PBP-**59,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364716,Agência Nacional de Aviação Civil,86144,INDIRETA,SAF/ANAC,,CONCLUÍDA,Reunião,,16.45,18.833,60.87,2024-07-15 15:35:28.243,2024-07-15 15:35:36.243,2024-07-15 15:35:47.580,2024-07-15 15:36:48.350,2024-07-15 16:01:36.513,,"IBAMA,",PA 11,BRASILIA,DF,"SIA TRECHO 05 ANVISA, - SIA","SIA TRECHO 5, SIA, GUARA - DF, 71205-050, BRASIL",-15.76756,-47.86197,-15.78963,-47.9673,-15.799,-47.95308,,,,CRONOS,2022.0,2023.0,PRATA,SGQ-**74,,,Sim,15,BRASILIA
TAXIGOV_DF_3,1364715,Presidência da República,26,DIRETA,DG/IN/CC/PR,,CONCLUÍDA,Reunião,,6.24,5.61,24.21,2024-07-15 15:35:09.547,2024-07-15 15:35:17.283,2024-07-15 15:44:27.533,2024-07-15 15:44:32.840,2024-07-15 15:57:50.270,,ESTRADA PARQUE INDUSTRIAS GRAFICAS,ZONA INDUSTRIAL,BRASILIA,DF,"ENGEMIL ENGENHARIA NOVA SEDE, Via W2 Sul, Asa Sul, Brasilia, DF","ENGEMIL ENGENHARIA NOVA SEDE, Via W2 Sul, Asa Sul, Brasilia, DF",-15.79243,-47.9136,-15.80287,-47.89511,-15.80314,-47.89515,,,,,2024.0,2024.0,,SSH-**37,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364714,Conselho Administrativo de Defesa Econômica,322,INDIRETA,CGP/CADE,,CONCLUÍDA,Reunião,,8.82,8.937,32.63,2024-07-15 15:34:17.387,2024-07-15 15:34:32.090,2024-07-15 15:35:10.417,2024-07-15 15:43:21.377,2024-07-15 16:00:13.680,,"PALACIO DA JUSTIÇA,",PA 1,BRASILIA,DF,"515 NORTE CADE, - ASA NORTE","515 NORTE CADE, - ASA NORTE",-15.79735,-47.86613,-15.74194,-47.89732,-15.74243,-47.89714,,,,VIRTUS,2024.0,2024.0,BRANCA,SSH-**20,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364713,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,249,INDIRETA,GAB/INEP,,CONCLUÍDA,Reunião,,5.68,5.637,20.96,2024-07-15 15:33:26.243,2024-07-15 15:33:55.113,2024-07-15 15:40:54.153,2024-07-15 15:41:43.307,2024-07-15 15:52:59.453,,INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS,ZONA INDUSTRIAL,BRASILIA,DF,"Ministerio da Educacao, Brasilia, DF","Ministerio da Educacao, Brasilia, DF",-15.788,-47.91424,-15.79501,-47.87305,-15.7954,-47.87295,,,,SIENA,2018.0,2019.0,PRATA,PBK-**99,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364695,Agência Nacional de Aviação Civil,86144,INDIRETA,SAF/ANAC,,CONCLUÍDA,Serviço externo / técnico,,13.28,12.734,49.14,2024-07-15 15:26:36.717,2024-07-15 15:26:45.207,2024-07-15 15:31:13.187,2024-07-15 15:32:05.137,2024-07-15 15:44:44.993,,AGENCIA NACIONAL DE AVIACAO CIVIL,ASA SUL,BRASILIA,DF,"Centro de Treinamento da Agencia Nacional de Aviacao Civil, Estrada Parque Aeroporto, 1471, Brasilia, Distrito Federal","Centro de Treinamento da Agencia Nacional de Aviacao Civil, Estrada Parque Aeroporto, 1471, Brasilia, Distrito Federal",-15.79456,-47.89348,-15.86968,-47.9325,-15.86974,-47.93239,,,,COROLLA,2021.0,2022.0,PRETA,REQ-**58,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364692,Agência Espacial Brasileira,4243,INDIRETA,DPEI/AEB,,CONCLUÍDA,Reunião,,11.83,11.844,43.89,2024-07-15 15:25:29.750,2024-07-15 15:25:37.400,2024-07-15 15:35:46.603,2024-07-15 15:36:28.717,2024-07-15 15:51:37.700,,AEB AGENCIA ESPACIAL BRASILEIRA,SETOR POLICIAL SUL,BRASILIA,DF,"Ministerio da Ciencia, Tecnologia e Inovacao - MCTI, Brasilia, Distrito Federal","Ministerio da Ciencia, Tecnologia e Inovacao - MCTI, Brasilia, Distrito Federal",-15.81587,-47.94311,-15.79986,-47.87005,-15.79982,-47.86986,,,,ONIX,2022.0,2023.0,PRATA,SGR-**88,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364690,Instituto Brasileiro de Museus,100584,INDIRETA,DPMUS,,CONCLUÍDA,Reunião,,7.25,6.856,26.83,2024-07-15 15:24:21.273,2024-07-15 15:25:22.857,2024-07-15 15:28:28.303,2024-07-15 15:28:49.157,2024-07-15 15:40:30.090,,EDIFICIO CAPES,ASA NORTE,BRASILIA,DF,"Centro Internacional de Convencoes do Brasil, SCES Trecho 2, Asa Sul, Brasilia, DF","Centro Internacional de Convencoes do Brasil, SCES Trecho 2, Asa Sul, Brasilia, DF",-15.78799,-47.87818,-15.81568,-47.84475,-15.81588,-47.84466,,,,NISSA,2024.0,2025.0,VERSA,SSL-**34,,,Não,15,BRASILIA
TAXIGOV_DF_3,1364687,Ministério do Turismo,72084,DIRETA,CGTR DIMEC/SNDTUR,,CONCLUÍDA,Reunião,,5.56,5.6,21.57,2024-07-15 15:23:25.757,2024-07-15 15:23:33.753,2024-07-15 15:26:39.773,2024-07-15 15:29:22.323,2024-07-15 15:39:15.140,,N BL U,PA 2,BRASILIA,DF,"Centro Internacional de Convencoes do Brasil, SCES Trecho 2, Asa Sul, Brasilia, DF","Centro Internacional de Convencoes do Brasil, SCES Trecho 2, Asa Sul, Brasilia, DF",-15.79689,-47.86823,-15.81568,-47.84475,-15.81558,-47.84505,,,,,2022.0,2023.0,,SGO-**28,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364681,Instituto Nacional do Seguro Social,1934,INDIRETA,DTI/INSS/AC,,CONCLUÍDA,Reunião,,12.5,13.41,46.25,2024-07-15 15:19:38.560,2024-07-15 15:19:46.003,2024-07-15 15:19:58.470,2024-07-15 16:15:46.050,2024-07-15 16:32:14.273,,"SIA, DEPOSITO DO INSS",SIA,BRASILIA,DF,"SAUS QD 2 INSS, - SAUS","SAUS QD 2 INSS, - SAUS",-15.7897,-47.96733,-15.80177,-47.87891,-15.80204,-47.87898,,,,YARIS,2022.0,2023.0,PRATA,REV-**05,,,Sim,15,BRASILIA
TAXIGOV_DF_3,1364671,Ministério das Relações Exteriores,263,DIRETA,SGAD/SG/MRE,,CONCLUÍDA,Serviço externo / técnico,,9.95,9.624,38.61,2024-07-15 15:14:54.207,2024-07-15 15:15:02.347,2024-07-15 15:15:17.017,2024-07-15 15:32:57.890,2024-07-15 15:46:34.357,,"SQN 115 BLOCO C,",ASA NORTE,BRASILIA,DF,"ANEXO II DO ITAMARATY(BOLO DE NOIVA), - ASA SUL","ANEXO II DO ITAMARATY(BOLO DE NOIVA), - ASA SUL",-15.7423,-47.89343,-15.80173,-47.86795,-15.80155,-47.86801,,,,,2022.0,2022.0,,REV-**32,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364666,Agência Nacional de Aviação Civil,86144,INDIRETA,SAF/ANAC,,CONCLUÍDA,Reunião,,7.57,6.745,28.01,2024-07-15 15:12:51.073,2024-07-15 15:12:59.450,2024-07-15 15:18:31.983,2024-07-15 15:19:07.020,2024-07-15 15:33:25.110,,EDIFICIO PARQUE CIDADE CORPORATE,ASA SUL,BRASILIA,DF,"IBAMA Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renovaveis, SCEN Trecho 2, Ed. Sede, Brasilia, Distrito Federal","IBAMA, ASA NORTE, BRASILIA - DF, BRASIL",-15.7951,-47.89345,-15.76773,-47.86204,-15.76665,-47.86177,,,,CRONOS,2022.0,2023.0,PRATA,SGQ-**74,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364663,Agência Espacial Brasileira,4243,INDIRETA,DPOA/AEB,,CONCLUÍDA,Outros,,12.8,10.498,47.49,2024-07-15 15:12:21.503,2024-07-15 15:12:27.723,2024-07-15 15:12:38.243,2024-07-15 15:13:34.050,2024-07-15 15:35:49.537,,"704/705 NORTE,",PA 16,BRASILIA,DF,"SPS AEB AGENCIA ESPACIAL BRASILEIRA, - SPS","SPS AEB AGENCIA ESPACIAL BRASILEIRA, - SPS",-15.77452,-47.88883,-15.81565,-47.94314,-15.81585,-47.94309,,,,CCROSS,2023.0,2023.0,PRATA,SGR-**14,,,Sim,15,BRASILIA
TAXIGOV_DF_3,1364661,Ministério da Saúde,304,DIRETA,CGSA,,CONCLUÍDA,Outros,,13.63,12.888,52.88,2024-07-15 15:12:07.327,2024-07-15 15:12:19.507,2024-07-15 15:16:22.187,2024-07-15 15:19:22.537,2024-07-15 15:40:54.357,,ANEXO DO MINISTÉRIO DA SAÚDE,G,BRASÍLIA,DF,EDITORA - MINISTÉRIO DA SAÚDE - BRASÍLIA / DF,EDITORA - MINISTÉRIO DA SAÚDE - BRASÍLIA / DF,-15.80181,-47.86856,-15.80182,-47.95618,-15.80177,-47.95654,,,,,2018.0,2019.0,,PBL-**63,,,Sim,15,BRASÍLIA
TAXIGOV_DF_ENTIDADES,1364659,Banco Central do Brasil,89,INDIRETA,DEMAP/DIDOC,,CONCLUÍDA,Outros,,6.78,7.107,25.36,2024-07-15 15:12:06.623,2024-07-15 15:12:15.887,2024-07-15 15:15:28.847,2024-07-15 15:15:38.807,2024-07-15 15:34:05.193,,0,SET MEDICO HOSP,BRASÍLIA,DF,"QUADRA SIG QUADRA 8, 2025 - ZONA INDUSTRIAL - BRASÍLIA / DF","QUADRA SIG QUADRA 8, 2025 - ZONA INDUSTRIAL - BRASÍLIA / DF",-15.80322,-47.88516,-15.79623,-47.91352,-15.79618,-47.91349,,,,VOYAGE,2021.0,2022.0,BRANCA,RMO-**95,,,Não,15,BRASÍLIA
TAXIGOV_DF_ENTIDADES,1364656,Conselho Administrativo de Defesa Econômica,322,INDIRETA,CGP/CADE,,CONCLUÍDA,Reunião,,10.27,10.607,38.0,2024-07-15 15:10:56.407,2024-07-15 15:11:36.130,2024-07-15 15:14:34.403,2024-07-15 15:16:42.877,2024-07-15 15:32:14.290,,"CONSELHO ADMINISTRATIVO DE DEFESA ECONOMICA (CADE), SEPN 515 CONJ. D LOTE 4",ASA NORTE,BRASILIA,DF,"Palacio da Justica - Ministerio da Justica e Seguranca Publica, Brasilia, Distrito Federal","Palacio da Justica - Ministerio da Justica e Seguranca Publica, Brasilia, Distrito Federal",-15.7423,-47.8975,-15.79765,-47.86583,-15.79689,-47.86588,,,,VIRTUS,2024.0,2024.0,BRANCA,SSH-**20,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364647,Banco Central do Brasil,89,INDIRETA,COAF,,CONCLUÍDA,Reunião,,6.54,4.902,24.46,2024-07-15 15:07:16.900,2024-07-15 15:07:38.137,2024-07-15 15:10:00.153,2024-07-15 15:10:10.850,2024-07-15 15:21:19.527,,"BLOCO J - ESPLANADA DOS MINISTERIOS, BLOCO J",PA 2,BRASILIA,DF,"UniBacen, SCES, Tr. 2, BRASILIA, DF","UniBacen, SCES, Tr. 2, BRASILIA, DF",-15.79448,-47.87468,-15.81744,-47.86781,-15.81749,-47.86794,,,,SPIN,2023.0,2023.0,BRANCA,SGS-**72,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364640,Fundação Universidade de Brasília,470,INDIRETA,IH,,CONCLUÍDA,Serviço externo / técnico,,7.68,8.152,28.26,2024-07-15 15:02:28.857,2024-07-15 15:02:35.587,2024-07-15 15:08:32.403,2024-07-15 15:08:40.730,2024-07-15 15:19:22.817,,SGAN 912 MOD. C,ASA NORTE,BRASILIA,DF,"UBS 1 Lago Norte, Brasilia, DF","UBS 1 Lago Norte, Brasilia, DF",-15.75481,-47.90072,-15.72564,-47.87388,-15.72542,-47.87438,,,,LOGAN,2019.0,2020.0,BRANCA,QWT-**02,,,Não,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364631,Fundação Oswaldo Cruz,315,INDIRETA,NEVS/FIOCRUZ-BSB,,CONCLUÍDA,Reunião,,22.74,23.415,84.14,2024-07-15 15:00:34.923,2024-07-15 15:00:48.480,2024-07-15 15:02:20.930,2024-07-15 15:07:06.837,2024-07-15 15:29:21.250,,"HOSPITAL REGIONAL DE SOBRADINHO, Q 12",SUL AGUAS CLARAS,BRASILIA,DF,"Hospital Universitario de Brasilia - Emergencia, Asa Norte, Brasilia, Distrito Federal","Hospital Universitario de Brasilia - Emergencia, Asa Norte, Brasilia, Distrito Federal",-15.64827,-47.79261,-15.77171,-47.87302,-15.77175,-47.87296,,,,VIRTUS,2024.0,2025.0,PRETA,SSK-**22,,,Sim,15,BRASILIA
TAXIGOV_DF_3,1364622,Advocacia-Geral da União,46,DIRETA,EAGU/AGU,,CONCLUÍDA,Reunião,,8.5,6.363,32.98,2024-07-15 14:56:17.447,2024-07-15 14:56:27.057,2024-07-15 15:00:08.337,2024-07-15 15:00:22.027,2024-07-15 15:16:48.783,,PRACA DO BURITI,ASA NORTE,BRASILIA,DF,"STJ - Portaria Adm (golf 3), Brasilia, DF","STJ - Portaria Adm (golf 3), Brasilia, DF",-15.78434,-47.90666,-15.80699,-47.8668,-15.80695,-47.86667,,,,,2020.0,2020.0,,REC-**41,,,Não,15,BRASILIA
TAXIGOV_DF_3,1364618,Ministério da Defesa,41066,DIRETA,SEORI/MD,,CONCLUÍDA,Reunião,,23.89,21.941,92.69,2024-07-15 14:54:16.237,2024-07-15 14:54:26.860,2024-07-15 14:58:09.277,2024-07-15 14:58:13.077,2024-07-15 15:23:41.673,,"VIA N. DOIS LESTE,",BRASILIA,BRASILIA,DF,"MecanicaTech - Solucoes Automotivas, Ade Aguas Claras Conjunto 16, 39, Brasilia, Distrito Federal","MecanicaTech - Solucoes Automotivas, Ade Aguas Claras Conjunto 16, 39, Brasilia, Distrito Federal",-15.79511,-47.86877,-15.87722,-48.01239,-15.87749,-48.01244,,,,,2022.0,2023.0,,SGO-**86,,,Sim,15,BRASILIA
TAXIGOV_DF_ENTIDADES,1364580,Instituto Nacional do Seguro Social,1934,INDIRETA,DTI/INSS/AC,,CONCLUÍDA,Reunião,,15.73,12.174,58.2,2024-07-15 14:36:29.350,2024-07-15 14:36:41.407,2024-07-15 14:43:20.210,2024-07-15 14:44:02.287,2024-07-15 15:16:28.923,,"SAUS QUADRA 2, 3",BRASILIA,BRASILIA,DF,"Deposito do INSS, Sia Trecho 2 Tcheca 2 Canteiro Central Via Ia 1, 83, Brasilia, DF","Deposito do INSS, Sia Trecho 2 Tcheca 2 Canteiro Central Via Ia 1, 83, Brasilia, DF",-15.80114,-47.87923,-15.80708,-47.95577,-15.8068,-47.95597,,,,YARIS,2022.0,2023.0,PRATA,REV-**05,,,Sim,15,BRASILIA
