base_origem,qru_corrida,orgao_nome,orgao_codigo_siorg,orgao_categoria,unidade_administrativa_nome,unidade_administrativa_codigo_siorg,status,motivo,justificativa,km_total,km_rota_calculada,valor_corrida,data_abertura,data_despacho,data_local_embarque,data_inicio,data_final,data_cancelamento,origem_endereco,origem_bairro,origem_cidade,origem_uf,destino_solicitado_endereco,destino_efetivo_endereco,origem_latitude,origem_longitude,destino_solicitado_latitude,destino_solicitado_longitude,destino_efetivo_latitude,destino_efetivo_longitude,avaliacao_usuario_nota,avaliacao_usuario_texto,veiculo_fabricante,veiculo_modelo,veiculo_ano_fabricacao,veiculo_ano_modelo,veiculo_cor,veiculo_placa,ateste_setorial_data,conteste_info,corrida_longa,mes_abertura,origem_cidade_upper
TAXIGOV_DF_3,1361470,Ministério da Saúde,304,DIRETA,OUVSUS,,CONCLUÍDA,Reunião,,25.66,23.864,99.56,2024-07-11 11:21:04.193,2024-07-11 11:21:12.467,2024-07-11 11:21:23.833,2024-07-11 11:37:57.630,2024-07-11 12:11:25.830,,"SOBRADINHO II, CONDOMINIO BURITIZINHO",PA 45,BRASILIA,DF,"PO 700, - ASA NORTE","PO 700, - ASA NORTE",-15.64944,-47.82823,-15.78332,-47.89032,-15.78407,-47.89046,,,,,2023.0,2023.0,,SGV-**39,,,Sim,11,BRASILIA
TAXIGOV_DF_3,1361452,Ministério da Educação,244,DIRETA,SAA/SEXEC/MEC,,CONCLUÍDA,Reunião,,41.41,35.547,160.67,2024-07-11 11:10:51.983,2024-07-11 11:10:59.613,2024-07-11 11:11:13.297,2024-07-11 11:11:48.290,2024-07-11 11:54:54.793,,"GAMA, PHS",GAMA,BRASILIA,DF,"MINISTERIO DA EDUCACAO BL L, - PA 2","MINISTERIO DA EDUCACAO BL L, - PA 2",-16.01607,-48.06826,-15.79534,-47.87311,-15.79505,-47.8729,,,,,2022.0,2023.0,,SGO-**30,,,Sim,11,BRASILIA
TAXIGOV_DF_ENTIDADES,1361451,Fundação Oswaldo Cruz,315,INDIRETA,NEVS/FIOCRUZ-BSB,,CONCLUÍDA,Reunião,,36.96,33.642,136.75,2024-07-11 11:10:47.757,2024-07-11 11:11:09.017,2024-07-11 11:14:16.583,2024-07-11 11:19:06.457,2024-07-11 12:00:30.420,,HOSPITAL REGIONAL DE CEILANDIA,,BRASILIA,DF,"Fundacao Oswaldo Cruz (FIOCRUZ), UnB Campus Darcy Ribeiro, Brasilia, Brasilia, DF","Fundacao Oswaldo Cruz (FIOCRUZ), UnB Campus Darcy Ribeiro, Brasilia, Brasilia, DF",-15.81533,-48.09637,-15.77112,-47.87152,-15.77103,-47.87196,,,,COBALT,2018.0,2019.0,BRANCO,PBS-**80,,,Sim,11,BRASILIA
TAXIGOV_DF_3,1361424,Ministério da Educação,244,DIRETA,SESU/MEC,,CONCLUÍDA,Reunião,,6.12,4.671,23.75,2024-07-11 10:57:26.080,2024-07-11 11:04:10.390,2024-07-11 11:06:41.830,2024-07-11 11:08:29.047,2024-07-11 11:21:45.577,,"ESPLANADA DOS MINISTERIOS, BL. L",ASA NORTE,BRASILIA,DF,"Cartorio JK, Asa Sul, Brasilia, DF","VIA W TRES SUL, ASA SUL, BRASILIA - DF, BRASIL",-15.79331,-47.87215,-15.808,-47.9002,-15.80665,-47.8992,,,,,2022.0,2023.0,,SGQ-**66,,,Não,11,BRASILIA
TAXIGOV_DF_3,1361412,Ministério da Saúde,304,DIRETA,DEMAS,,CONCLUÍDA,Reunião,,12.61,11.772,48.93,2024-07-11 10:52:27.927,2024-07-11 10:52:42.180,2024-07-11 11:04:07.653,2024-07-11 11:05:45.677,2024-07-11 11:22:34.243,,"ANVISA AGENCIA NACIONAL DE VIGILANCIA SANITARIA - SEDE, 57",ZONA INDUSTRIAL GUARA,BRASILIA,DF,"Ministerio da Saude - Bloco G, Brasilia, DF","Ministerio da Saude - Bloco G, Brasilia, DF",-15.79912,-47.95372,-15.80024,-47.86838,-15.80032,-47.86825,,,,,2018.0,2018.0,,SGT-**90,,,Sim,11,BRASILIA
TAXIGOV_DF_3,1361405,Ministério da Defesa,41066,DIRETA,SEORI/MD,,CONCLUÍDA,Reunião,,8.44,8.548,32.75,2024-07-11 10:49:12.093,2024-07-11 10:49:24.013,2024-07-11 10:52:55.533,2024-07-11 10:53:32.067,2024-07-11 11:07:23.340,,MINISTERIO DA DEFESA - ANEXO,ASA NORTE,BRASILIA,DF,"32  Grupo de Artilharia de Campanha, SMU, Brasilia, Distrito Federal","32  Grupo de Artilharia de Campanha, SMU, Brasilia, Distrito Federal",-15.79442,-47.87028,-15.76281,-47.92444,-15.76264,-47.92336,,,,,2023.0,2024.0,,SGV-**61,,,Não,11,BRASILIA
TAXIGOV_DF_3,1361401,Ministério da Saúde,304,DIRETA,OUVSUS,,CONCLUÍDA,Reunião,,22.02,22.389,85.44,2024-07-11 10:46:55.577,2024-07-11 10:47:03.930,2024-07-11 10:50:41.067,2024-07-11 10:51:50.047,2024-07-11 11:18:38.243,,"PO700 - MINISTERIO DA SAUDE, SRTVN, 701",ASA NORTE,BRASILIA,DF,"Sh Contagem/Condominio Buritizinho Rua 2, 29, Brasilia, Distrito Federal","Sh Contagem/Condominio Buritizinho Rua 2, 29, Brasilia, Distrito Federal",-15.78407,-47.89045,-15.64408,-47.82903,-15.64408,-47.82914,,,,,2023.0,2023.0,,SGV-**39,,,Sim,11,BRASILIA
TAXIGOV_DF_3,1361378,Presidência da República,26,DIRETA,DGES/GSI/PR,,CONCLUÍDA,Transporte de documentos / materiais,,9.29,8.881,36.05,2024-07-11 10:39:12.013,2024-07-11 10:39:18.410,2024-07-11 10:39:26.893,2024-07-11 10:44:38.140,2024-07-11 11:01:36.593,,"SMU COMANDO MILITAR DO PLANALTO/COMANDO DA 11 RM,",SMU,BRASILIA,DF,"ANEXO PALACIO PLANALTO, - PA 1","VIA N. UM LESTE, ASA SUL, BRASILIA - DF, BRASIL",-15.77776,-47.91966,-15.79924,-47.85909,-15.8006,-47.85738,,,,,2022.0,2023.0,,SGQ-**66,,,Não,11,BRASILIA
TAXIGOV_DF_3,1361362,Ministério do Desenvolvimento Agrário e Agricultura Familiar,308794,DIRETA,CGLOG / SPOA / SE / MDA,,CONCLUÍDA,Reunião,,6.73,6.292,26.11,2024-07-11 10:33:18.647,2024-07-11 10:33:30.873,2024-07-11 10:35:13.633,2024-07-11 10:36:56.873,2024-07-11 10:48:43.690,,"ESPLANADA DOS MINISTERIOS, BL. D",BRASILIA,BRASILIA,DF,"Papelaria ABC, Brasilia, DF","SIG QUADRA 4, 675, SUDOESTE/OCTOGONAL, CRUZEIRO - DF, 70610-440, BRASIL",-15.79961,-47.87095,-15.79061,-47.91226,-15.78956,-47.91274,,,,,2022.0,2022.0,,REU-**98,,,Não,11,BRASILIA
TAXIGOV_DF_3,1361350,Presidência da República,26,DIRETA,DITEC/SA/CC/PR,,CONCLUÍDA,Serviço externo / técnico,,29.42,26.329,114.15,2024-07-11 10:29:55.650,2024-07-11 10:30:10.473,2024-07-11 10:30:17.230,2024-07-11 10:34:32.167,2024-07-11 11:21:00.767,,"AVENIDA TRES,",RIACHO FUNDO,BRASILIA,DF,"Residencia Oficial da Granja do Torto, Brasilia, Distrito Federal","PARQUE NACIONAL DE BRASILIA, BRASILIA - DF, 70636-000, BRASIL",-15.88143,-48.02313,-15.70542,-47.90573,-15.71173,-47.90077,,,,,2022.0,2023.0,,SGN-**40,,,Sim,11,BRASILIA
