base_origem,qru_corrida,orgao_nome,orgao_codigo_siorg,orgao_categoria,unidade_administrativa_nome,unidade_administrativa_codigo_siorg,status,motivo,justificativa,km_total,km_rota_calculada,valor_corrida,data_abertura,data_despacho,data_local_embarque,data_inicio,data_final,data_cancelamento,origem_endereco,origem_bairro,origem_cidade,origem_uf,destino_solicitado_endereco,destino_efetivo_endereco,origem_latitude,origem_longitude,destino_solicitado_latitude,destino_solicitado_longitude,destino_efetivo_latitude,destino_efetivo_longitude,avaliacao_usuario_nota,avaliacao_usuario_texto,veiculo_fabricante,veiculo_modelo,veiculo_ano_fabricacao,veiculo_ano_modelo,veiculo_cor,veiculo_placa,ateste_setorial_data,conteste_info
TAXIGOV_DF_3,1365033,Presidência da República,26,DIRETA,CGPPP/IN/CC/PR,,CONCLUÍDA,Outros,,4.56,4.545,17.69,2024-07-16 01:08:19.050,2024-07-16 01:08:32.117,2024-07-16 01:12:42.527,2024-07-16 01:14:55.843,2024-07-16 01:22:26.970,,IMPRENSA NACIONAL,,BRASÍLIA,DF,39 - ASA SUL - BRASÍLIA / DF,39 - ASA SUL - BRASÍLIA / DF,-15.79243,-47.9136,-15.80098,-47.89351,-15.80116,-47.89354,,,,,2024,25,,SSK-**89,,
TAXIGOV_DF_3,1365028,Presidência da República,26,DIRETA,CGPPP/IN/CC/PR,,CANCELADA,Reunião,,,,7.76,2024-07-15 22:55:32.263,2024-07-16 02:06:38.673,,2024-07-16 02:06:38.673,2024-07-16 02:07:23.180,2024-07-16 02:07:23.180,ESTRADA PARQUE INDUSTRIAS GRAFICAS,ZONA INDUSTRIAL,BRASILIA,DF,"QRSW 8 Bl. A1, Brasilia, DF",,-15.79243,-47.9136,-15.78398,-47.92825,,,,,,,,,,,,
TAXIGOV_DF_ENTIDADES,1364997,Instituto do Patrimônio Histórico e Artístico Nacional,2045,INDIRETA,GABINETE/IPHAN,,CANCELADA,Reunião,,,,,2024-07-15 19:14:57.857,2024-07-15 19:19:57.630,,2024-07-15 19:19:57.630,2024-07-15 19:20:08.080,2024-07-15 19:20:08.080,APEXBRASIL,ASA NORTE,BRASILIA,DF,"Instituto do Patrimonio Historico e Artistico Nacional - Sede, Asa Sul, Brasilia, Distrito Federal",,-15.78575,-47.87549,-15.82776,-47.9249,,,,,,SPIN,2024,25,PRATA,SSK-**89,,
TAXIGOV_DF_ENTIDADES,1364995,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,1812,INDIRETA,DIPLAN/IBAMA,,CONCLUÍDA,Reunião,,5.21,4.897,19.28,2024-07-15 19:14:41.830,2024-07-15 19:14:51.773,2024-07-15 19:15:58.990,2024-07-15 19:16:08.173,2024-07-15 19:24:39.847,,"MINISTERIO DO MEIO AMBIENTE, EIXO MONUMENTAL",,BRASILIA,DF,"Ibama, Brasilia, Distrito Federal","Ibama, Brasilia, Distrito Federal",-15.79859,-47.87243,-15.76624,-47.86238,-15.76553,-47.8627,,,,SIENA,2018,2019,BRANCA,PBK-**34,,
TAXIGOV_DF_3,1364984,Ministério da Saúde,304,DIRETA,DEMSP,,CONCLUÍDA,Reunião,,4.14,4.13,16.06,2024-07-15 18:49:23.617,2024-07-15 18:50:50.960,2024-07-15 18:53:52.260,2024-07-15 18:54:00.420,2024-07-15 19:04:31.250,,MINISTERIO DA SAUDE - BLOCO G,,BRASILIA,DF,"PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, Distrito Federal","PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, Distrito Federal",-15.80024,-47.86838,-15.78407,-47.89045,-15.78416,-47.89046,,,,,2018,2019,,PBK-**34,,
TAXIGOV_DF_3,1364979,Ministério da Saúde,304,DIRETA,GAB/SGTES,,CONCLUÍDA,Reunião,,4.11,4.151,15.95,2024-07-15 18:43:00.153,2024-07-15 18:43:12.760,2024-07-15 18:44:38.640,2024-07-15 18:47:51.150,2024-07-15 18:56:47.580,,MINISTERIO DA SAUDE - BLOCO G,,BRASILIA,DF,"PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF","PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF",-15.80024,-47.86838,-15.78407,-47.89045,-15.78435,-47.89049,,,,,2018,2018,,QOB-**36,,
TAXIGOV_DF_3,1364977,Ministério do Meio Ambiente,1927,DIRETA,GM/MMA,,CONCLUÍDA,Reunião,,2.19,2.963,8.5,2024-07-15 18:40:41.373,2024-07-15 18:40:59.000,2024-07-15 18:46:46.017,2024-07-15 18:47:22.913,2024-07-15 18:50:40.563,,"ANEXO I (PALACIO DO PLANALTO   PRESIDENCIA DA REPUBLICA), PRACA DOS TRES PODERES",PA 1,BRASILIA,DF,"Ministerio do Meio Ambiente, Eixo Monumental, Brasilia, Distrito Federal","Ministerio do Meio Ambiente, Eixo Monumental, Brasilia, Distrito Federal",-15.79955,-47.85925,-15.79859,-47.87243,-15.79861,-47.87221,,,,,2018,2019,,PBK-**34,,
TAXIGOV_DF_3,1364967,Ministério da Educação,244,DIRETA,SECADI,,CANCELADA,Reunião,,,,7.76,2024-07-15 18:20:47.820,2024-07-15 18:26:54.147,,2024-07-15 18:20:47.820,2024-07-15 18:26:54.143,2024-07-15 18:26:54.143,EM BLOCO L,BRASILIA,BRASILIA,DF,"Venancio Shopping, Setor Comercial Sul, Q. 6, Asa Sul, Brasilia, DF",,-15.79527,-47.87307,-15.79599,-47.89293,,,,,,,,,,,,
TAXIGOV_DF_3,1364965,Ministério da Educação,244,DIRETA,ACS/GM/MEC,,CANCELADA,Reunião,,,0.313,7.76,2024-07-15 18:16:26.230,2024-07-15 18:25:59.893,2024-07-15 18:31:46.910,2024-07-15 18:37:33.763,2024-07-15 18:44:19.927,2024-07-15 18:44:19.927,"MINISTERIO DA EDUCACAO (MEC), ESPLANADA DOS MINISTERIOS, BL. L",ZONA CIVICOADMINISTRATIVA,BRASILIA,DF,"Venancio Shopping, Setor Comercial Sul, Q. 6, Asa Sul, Brasilia, Distrito Federal","EM BLOCO L, BLOCO L, ASA NORTE, BRASILIA - DF, BRASIL",-15.7949,-47.87322,-15.79599,-47.89293,-15.7951,-47.87284,,,,,2017,2018,,PBE-**89,,
TAXIGOV_DF_3,1364961,Ministério da Saúde,304,DIRETA,DAHU/SAES/MS,,CONCLUÍDA,Reunião,,2.84,2.662,11.02,2024-07-15 18:12:50.277,2024-07-15 18:13:21.017,2024-07-15 18:23:18.967,2024-07-15 18:23:34.220,2024-07-15 18:33:35.700,,EBSERH - EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,ASA SUL,BRASILIA,DF,"PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF","PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF",-15.79581,-47.89378,-15.78407,-47.89045,-15.78441,-47.89045,,,,,,,,REU-**33,,
TAXIGOV_DF_ENTIDADES,1364953,Fundo Nacional de Desenvolvimento da Educação,253,INDIRETA,GABIN/FNDE,,CANCELADA,Reunião,,,,7.4,2024-07-15 18:02:38.170,2024-07-15 18:11:16.063,,2024-07-15 18:02:38.170,2024-07-15 18:11:16.063,2024-07-15 18:11:16.063,"CENTRO INTERNACIONAL DE CONVENCOES DO BRASIL, SCES TRECHO 2",ASA SUL,BRASILIA,DF,"Fundo Nacional de Desenvolvimento da Educacao, Sbs, 12, Asa Sul, Brasilia, Distrito Federal",,-15.81569,-47.84475,-15.80089,-47.88341,,,,,,,,,,,,
TAXIGOV_DF_3,1364949,Presidência da República,26,DIRETA,CGPPP/IN/CC/PR,,CANCELADA,Reunião,,,,7.76,2024-07-15 17:59:24.573,2024-07-16 02:06:44.077,,2024-07-16 02:06:44.077,2024-07-16 02:07:10.123,2024-07-16 02:07:10.123,ESTRADA PARQUE INDUSTRIAS GRAFICAS,ZONA INDUSTRIAL,BRASILIA,DF,"SQS 409 Bl. B, Asa Sul, Brasilia, DF",,-15.79243,-47.9136,-15.82359,-47.9027,,,,,,,,,,,,
TAXIGOV_DF_3,1364945,Ministério da Saúde,304,DIRETA,CGSPD/DAET/SAES/MS,,CONCLUÍDA,Reunião,,8.97,8.268,34.8,2024-07-15 17:56:36.747,2024-07-15 17:58:50.943,2024-07-15 18:07:42.373,2024-07-15 18:07:48.450,2024-07-15 18:33:29.660,,SCES TRECHO 2,ASA SUL,BRASILIA,DF,"Edificio PO 700, Asa Norte, Brasilia, DF","Edificio PO 700, Asa Norte, Brasilia, DF",-15.81568,-47.84475,-15.78364,-47.89034,-15.78406,-47.89041,,,,,2020,2020,,REC-**41,,
TAXIGOV_DF_ENTIDADES,1364943,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,249,INDIRETA,GAB/INEP,,CONCLUÍDA,Reunião,,5.66,5.702,20.89,2024-07-15 17:53:11.057,2024-07-15 17:59:01.870,2024-07-15 18:03:46.220,2024-07-15 18:07:09.583,2024-07-15 18:23:11.040,,MINISTERIO DA EDUCACAO,PA 2,BRASILIA,DF,"INEP - Instituto Nacional de Estudos e Pesquisas Educacionais Anisio Teixeira, SIG Qd. 4, Lt. 327, Sudoeste/Octogonal, Cruzeiro, DF","INEP - Instituto Nacional de Estudos e Pesquisas Educacionais Anisio Teixeira, SIG Qd. 4, Lt. 327, Sudoeste/Octogonal, Cruzeiro, DF",-15.79501,-47.87305,-15.78816,-47.91414,-15.78833,-47.91389,,,,COROLLA,2022,2023,PRETA,SGO-**68,,
TAXIGOV_DF_3,1364941,Ministério da Justiça e Segurança Pública,235881,DIRETA,DINT/SEOPI/MJSP,,CONCLUÍDA,Reunião,,3.84,4.022,14.9,2024-07-15 17:50:00.333,2024-07-15 17:56:24.517,2024-07-15 17:59:10.430,2024-07-15 17:59:44.157,2024-07-15 18:10:47.233,,MINISTERIO DA JUSTICA E CIDADANIA - ANEXO II,,BRASILIA,DF,"Edificio Taurisano, Sbn Q 1, 31, Asa Norte, Brasilia, Distrito Federal","Edificio Taurisano, Sbn Q 1, 31, Asa Norte, Brasilia, Distrito Federal",-15.796570000000001,-47.86601,-15.78088,-47.88728,-15.78087,-47.88663,,,,,2024,2024,,SSI-**69,,
TAXIGOV_DF_3,1364938,Ministério da Saúde,304,DIRETA,DEMSP,,CONCLUÍDA,Reunião,,4.13,4.163,16.02,2024-07-15 17:42:18.670,2024-07-15 17:44:16.780,2024-07-15 17:48:56.280,2024-07-15 17:49:55.163,2024-07-15 17:58:03.627,,"PO 700, SRTVN QUADRA 03",ASA NORTE,BRASILIA,DF,"Ministerio da Saude - Bloco G, Brasilia, Distrito Federal","Ministerio da Saude - Bloco G, Brasilia, Distrito Federal",-15.78354,-47.8903,-15.80024,-47.86838,-15.80033,-47.86819,,,,,2022,2023,,SGO-**68,,
TAXIGOV_DF_3,1364937,Ministério da Saúde,304,DIRETA,CGSPD/DAET/SAES/MS,,CONCLUÍDA,Reunião,,4.15,4.148,16.1,2024-07-15 17:42:17.257,2024-07-15 17:42:26.163,2024-07-15 17:44:16.663,2024-07-15 17:44:27.747,2024-07-15 17:52:03.820,,MINISTERIO DA SAUDE - BLOCO G,,BRASILIA,DF,"PO700 - Ministerio da Saude, Asa Norte, Brasilia, Distrito Federal","PO700 - Ministerio da Saude, Asa Norte, Brasilia, Distrito Federal",-15.80024,-47.86838,-15.78406,-47.89043,-15.78432,-47.89048,,,,,2023,2024,,SSF-**75,,
TAXIGOV_DF_ENTIDADES,1364934,Instituto Brasileiro de Museus,100584,INDIRETA,DPMUS,,CONCLUÍDA,Reunião,,6.95,7.145,25.72,2024-07-15 17:27:52.640,2024-07-15 17:29:40.733,2024-07-15 17:39:34.003,2024-07-15 17:40:02.943,2024-07-15 17:51:50.860,,SCES TRECHO 2,ASA SUL,BRASILIA,DF,"Edificio Capes, Asa Norte, Brasilia, DF","Edificio Capes, Asa Norte, Brasilia, DF",-15.81568,-47.84475,-15.78799,-47.87818,-15.78853,-47.87856,,,,VOYAGE,2020,2020,PRATA,REC-**41,,
TAXIGOV_DF_3,1364926,Ministério do Meio Ambiente,1927,DIRETA,GM/MMA,,CONCLUÍDA,Reunião,,2.08,2.087,8.07,2024-07-15 17:19:09.373,2024-07-15 17:20:56.630,2024-07-15 17:28:32.740,2024-07-15 17:29:26.373,2024-07-15 17:35:55.653,,"MINISTERIO DO MEIO AMBIENTE, EIXO MONUMENTAL",,BRASILIA,DF,"Anexo I (Palacio do Planalto   Presidencia da Republica), Praca dos Tres Poderes, Brasilia, Distrito Federal","Anexo I (Palacio do Planalto   Presidencia da Republica), Praca dos Tres Poderes, Brasilia, Distrito Federal",-15.79859,-47.87243,-15.79955,-47.85925,-15.79978,-47.85932,,,,,2024,2024,,SSI-**69,,
TAXIGOV_DF_3,1364923,Ministério da Saúde,304,DIRETA,DEPPROS,,CONCLUÍDA,Reunião,,4.35,4.347,16.88,2024-07-15 17:17:00.823,2024-07-15 17:17:40.840,2024-07-15 17:19:43.070,2024-07-15 17:20:42.033,2024-07-15 17:31:50.827,,"EDIFICIO PO 700, VIA W 5 NORTE",ASA NORTE,BRASILIA,DF,"Anexo do Ministerio da Saude, Eixo Monumental, G, Brasilia, Distrito Federal","Anexo do Ministerio da Saude, Eixo Monumental, G, Brasilia, Distrito Federal",-15.78364,-47.89034,-15.80181,-47.86856,-15.80159,-47.86924,,,,,,,,OVO-**35,,
TAXIGOV_DF_3,1364917,Ministério do Desenvolvimento Agrário e Agricultura Familiar,308794,DIRETA,SETEQ / MDA,,CONCLUÍDA,Reunião,,2.55,2.481,9.89,2024-07-15 17:14:36.490,2024-07-15 17:17:33.500,2024-07-15 17:20:06.697,2024-07-15 17:22:06.537,2024-07-15 17:28:39.350,,PALACIO DO PLANALTO,,BRASILIA,DF,"Banca Palacio do Desenvolvimento, Asa Norte, Brasilia, Distrito Federal","Banca Palacio do Desenvolvimento, Asa Norte, Brasilia, Distrito Federal",-15.79905,-47.86077,-15.79111,-47.87962,-15.79117,-47.87964,,,,,2020,2020,,REC-**41,,
TAXIGOV_DF_ENTIDADES,1364916,Fundo Nacional de Desenvolvimento da Educação,253,INDIRETA,COGER/FNDE,,CONCLUÍDA,Reunião,,2.99,3.293,11.06,2024-07-15 17:12:25.897,2024-07-15 17:13:02.487,2024-07-15 17:17:10.073,2024-07-15 17:17:49.023,2024-07-15 17:23:53.453,,EDIFICIO CAPES,ASA NORTE,BRASILIA,DF,"Fundo Nacional de Desenvolvimento da Educacao, Sbs, 12, Asa Sul, Brasilia, DF","Fundo Nacional de Desenvolvimento da Educacao, Sbs, 12, Asa Sul, Brasilia, DF",-15.78799,-47.87818,-15.80089,-47.88341,-15.80133,-47.88354,,,,KICKS,2023,2024,PRATA,SGV-**61,,
TAXIGOV_DF_3,1364912,Ministério da Saúde,304,DIRETA,GAB/SVS,,CONCLUÍDA,Reunião,,2.08,2.059,8.07,2024-07-15 17:10:29.297,2024-07-15 17:11:11.457,2024-07-15 17:13:36.627,2024-07-15 17:14:49.743,2024-07-15 17:20:25.597,,SRTVN QUADRA 03,BRASILIA,BRASILIA,DF,"San Marco Hotel, Asa Sul, Brasilia, DF","San Marco Hotel, Asa Sul, Brasilia, DF",-15.78354,-47.8903,-15.79306,-47.89176,-15.79316,-47.89185,,,,,2023,2024,,SSG-**11,,
TAXIGOV_DF_3,1364909,Ministério da Saúde,304,DIRETA,DGAP,,CANCELADA,Reunião,,,,7.76,2024-07-15 17:06:59.613,2024-07-15 17:18:59.363,,2024-07-15 17:18:59.363,2024-07-15 17:19:42.770,2024-07-15 17:19:42.770,MINISTERIO DA EDUCACAO,PA 2,BRASILIA,DF,"PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF",,-15.79501,-47.87305,-15.78407,-47.89045,,,,,,,2024,2024,,SSI-**69,,
TAXIGOV_DF_3,1364908,Ministério da Saúde,304,DIRETA,GAB/SGTES,,CONCLUÍDA,Reunião,,4.02,4.191,15.6,2024-07-15 17:06:27.150,2024-07-15 17:06:36.203,2024-07-15 17:07:40.127,2024-07-15 17:11:31.753,2024-07-15 17:23:22.043,,"SRTVN, 701",ASA NORTE,BRASILIA,DF,"Ministerio da Saude - Bloco G, Brasilia, DF","Ministerio da Saude - Bloco G, Brasilia, DF",-15.78407,-47.89045,-15.80024,-47.86838,-15.80003,-47.86814,,,,,2024,2024,,SSJ-**17,,
TAXIGOV_DF_ENTIDADES,1364902,Instituto Nacional de Colonização e Reforma Agrária,1799,INDIRETA,GAB/INCRA,,CANCELADA,Reunião,,,,7.4,2024-07-15 17:04:18.817,2024-07-15 17:16:25.550,,2024-07-15 17:04:18.817,2024-07-15 17:16:25.550,2024-07-15 17:16:25.550,ESPLANADA DOS MINISTERIOS,ZONA CIVICO-ADMINISTRATIVA,BRASILIA,DF,"Palacio do Desenvolvimento, Brasilia, DF",,-15.79906,-47.87167,-15.79075,-47.87953,,,,,,,,,,,,
TAXIGOV_DF_3,1364901,Ministério da Saúde,304,DIRETA,DGAP,,CONCLUÍDA,Reunião,,1.34,1.338,7.76,2024-07-15 17:04:03.930,2024-07-15 17:04:22.810,2024-07-15 17:07:19.237,2024-07-15 17:08:07.090,2024-07-15 17:13:02.027,,MINISTERIO DA EDUCACAO,PA 2,BRASILIA,DF,"Ministerio da Saude - Bloco G, Brasilia, DF","Ministerio da Saude - Bloco G, Brasilia, DF",-15.79501,-47.87305,-15.80024,-47.86838,-15.80035,-47.8682,,,,,2023,2023,,SGR-**55,,
TAXIGOV_DF_3,1364898,Ministério da Saúde,304,DIRETA,GAB/SVS,,CONCLUÍDA,Reunião,,4.21,4.223,16.33,2024-07-15 17:02:52.670,2024-07-15 17:03:04.757,2024-07-15 17:08:00.887,2024-07-15 17:08:30.887,2024-07-15 17:17:48.197,,"SRTVN, 701",ASA NORTE,BRASILIA,DF,"Ministerio da Saude - Bloco G, Brasilia, DF","Ministerio da Saude - Bloco G, Brasilia, DF",-15.78407,-47.89045,-15.80024,-47.86838,-15.80032,-47.8682,,,,,,,,SSK-**03,,
TAXIGOV_DF_3,1364897,Ministério do Desenvolvimento Agrário e Agricultura Familiar,308794,DIRETA,SETEQ / MDA,,CANCELADA,Reunião,,,,7.76,2024-07-15 17:02:48.933,2024-07-15 17:14:22.983,,2024-07-15 17:02:48.933,2024-07-15 17:14:22.983,2024-07-15 17:14:22.983,PALACIO DO PLANALTO,,BRASILIA,DF,"Banca Palacio do Desenvolvimento, Asa Norte, Brasilia, Distrito Federal",,-15.79905,-47.86077,-15.79111,-47.87962,,,,,,,,,,,,
TAXIGOV_DF_3,1364896,Ministério da Saúde,304,DIRETA,CGSPD/DAET/SAES/MS,,CONCLUÍDA,Reunião,,4.08,4.138,15.83,2024-07-15 17:02:25.643,2024-07-15 17:07:40.490,2024-07-15 17:10:36.780,2024-07-15 17:10:36.180,2024-07-15 17:20:53.973,,MINISTERIO DA SAUDE - BLOCO G,,BRASILIA,DF,"Edificio PO 700, Via W 5 Norte, Asa Norte, Brasilia, Distrito Federal","Edificio PO 700, Via W 5 Norte, Asa Norte, Brasilia, Distrito Federal",-15.80024,-47.86838,-15.78364,-47.89034,-15.78423,-47.8905,,,,,2022,2023,,REV-**05,,
TAXIGOV_DF_3,1364889,Ministério da Saúde,304,DIRETA,DGCI,,CANCELADA,Reunião,,,,,2024-07-15 16:58:11.390,2024-07-15 16:58:20.323,,2024-07-15 16:58:20.323,2024-07-15 16:59:52.040,2024-07-15 16:59:52.040,EIXO MONUMENTAL,G,BRASILIA,DF,"PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF",,-15.80181,-47.86856,-15.78407,-47.89045,,,,,,,2022,2023,,SGQ-**66,,
TAXIGOV_DF_3,1364883,Ministério da Saúde,304,DIRETA,GAB/SGTES,,CONCLUÍDA,Reunião,,4.1,4.128,15.91,2024-07-15 16:56:03.843,2024-07-15 16:56:12.360,2024-07-15 16:59:15.300,2024-07-15 16:59:53.437,2024-07-15 17:09:38.760,,"ESPLANADA DOS MINISTERIOS, BL. G",BRASILIA,BRASILIA,DF,"PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF","PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF",-15.80055,-47.86855,-15.78407,-47.89045,-15.78445,-47.89049,,,,,2023,2024,,SGV-**61,,
TAXIGOV_DF_3,1364880,Ministério da Saúde,304,DIRETA,CGAH,,CONCLUÍDA,Reunião,,3.99,4.136,15.48,2024-07-15 16:55:09.577,2024-07-15 16:55:18.637,2024-07-15 16:59:05.807,2024-07-15 17:03:15.060,2024-07-15 17:13:31.140,,MINISTERIO DA SAUDE - BLOCO G,,BRASILIA,DF,"PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF","PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF",-15.80024,-47.86838,-15.78407,-47.89045,-15.78422,-47.8904,,,,,2024,2024,,SSK-**66,,
TAXIGOV_DF_3,1364874,Ministério da Saúde,304,DIRETA,DGCI,,CONCLUÍDA,Reunião,,4.37,4.379,16.96,2024-07-15 16:51:26.343,2024-07-15 16:51:36.347,2024-07-15 16:57:54.750,2024-07-15 16:57:59.957,2024-07-15 17:10:07.930,,"ANEXO DO MINISTERIO DA SAUDE, EIXO MONUMENTAL",G,BRASILIA,DF,"PO700 - Ministerio da Saude, Asa Norte, Brasilia, Distrito Federal","PO700 - Ministerio da Saude, Asa Norte, Brasilia, Distrito Federal",-15.80181,-47.86856,-15.78406,-47.89043,-15.7841,-47.89043,,,,,,,,REL-**24,,
TAXIGOV_DF_3,1364873,Ministério da Saúde,304,DIRETA,DGCI,,CANCELADA,Reunião,,,,7.76,2024-07-15 16:51:26.140,2024-07-15 16:51:36.027,2024-07-15 16:53:13.770,2024-07-15 16:51:36.027,2024-07-15 16:57:53.820,2024-07-15 16:57:53.820,EIXO MONUMENTAL,G,BRASILIA,DF,"PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF",,-15.80181,-47.86856,-15.78407,-47.89045,,,,,,,2022,2023,,SGQ-**66,,
TAXIGOV_DF_ENTIDADES,1364864,Fundação Nacional do Índio,173,INDIRETA,PFE/FUNAI,,CONCLUÍDA,Reunião,,3.91,4.117,13.88,2024-07-15 16:45:18.820,2024-07-15 16:45:28.987,2024-07-15 16:46:52.190,2024-07-15 16:46:55.550,2024-07-15 16:57:06.013,,MINISTERIO DOS POVOS INDIGENAS,PA 2,BRASILIA,DF,"Fundacao Nacional dos Povos Indigenas - FUNAI, Asa Sul, Brasilia, DF","Fundacao Nacional dos Povos Indigenas - FUNAI, Asa Sul, Brasilia, DF",-15.79917,-47.87167,-15.79521,-47.89352,-15.79518,-47.89372,,,,KICKS,2023,2024,BRANCA,SGY-**29,,
TAXIGOV_DF_ENTIDADES,1364859,Superintendência do Desenvolvimento do Centro-Oeste,100113,INDIRETA,APOIO/DA/SUDECO,,CONCLUÍDA,Reunião,,2.82,2.421,10.43,2024-07-15 16:42:31.117,2024-07-15 16:42:41.443,2024-07-15 16:42:43.813,2024-07-15 16:46:07.080,2024-07-15 16:53:36.230,,CAIXA,ASA SUL,BRASILIA,DF,"Superintendencia do Desenvolvimento do Centro-Oeste, Asa Norte, Brasilia, DF","Superintendencia do Desenvolvimento do Centro-Oeste, Asa Norte, Brasilia, DF",-15.80275,-47.88373,-15.79119,-47.87828,-15.79126,-47.87849,,,,COROLLA,2021,2022,PRATA,RES-**79,,
TAXIGOV_DF_ENTIDADES,1364855,Agência Nacional de Aviação Civil,86144,INDIRETA,SAF/ANAC,,CONCLUÍDA,Reunião,,4.37,4.328,16.17,2024-07-15 16:38:37.060,2024-07-15 16:38:43.617,2024-07-15 16:54:19.110,2024-07-15 16:55:05.860,2024-07-15 17:04:11.913,,"MINISTERIO DA SAUDE BL G,",PA 1,BRASILIA,DF,"SCS ED PARQUE CIDADE CORPORATE, - ASA SUL","SCS ED PARQUE CIDADE CORPORATE, - ASA SUL",-15.80001,-47.86838,-15.79431,-47.89336,-15.79516,-47.89375,,,,CRONOS,2022,2023,PRATA,SGQ-**74,,
TAXIGOV_DF_3,1364853,Ministério da Saúde,304,DIRETA,DGCI,,CONCLUÍDA,Reunião,,4.1,4.118,15.91,2024-07-15 16:38:29.950,2024-07-15 16:38:41.200,2024-07-15 16:42:55.230,2024-07-15 16:43:59.457,2024-07-15 16:52:04.120,,MINISTERIO DA SAUDE - BLOCO G,,BRASILIA,DF,"PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF","PO700 - Ministerio da Saude, SRTVN, 701, Asa Norte, Brasilia, DF",-15.80024,-47.86838,-15.78407,-47.89045,-15.78405,-47.89043,,,,,2017,2017,,PAQ-**53,,
TAXIGOV_DF_ENTIDADES,1364846,Instituto Nacional de Colonização e Reforma Agrária,1799,INDIRETA,GAB/INCRA,,CONCLUÍDA,Reunião,,3.85,2.752,14.25,2024-07-15 16:32:38.590,2024-07-15 16:32:48.960,2024-07-15 16:38:19.293,2024-07-15 16:38:38.320,2024-07-15 16:47:55.577,,CAMARA DOS DEPUTADOS ANEXO IV,ANEXO IV,BRASILIA,DF,"Instituto Nacional de Colonizacao e Reforma Agraria - Sede, Asa Norte, Brasilia, DF","Instituto Nacional de Colonizacao e Reforma Agraria - Sede, Asa Norte, Brasilia, DF",-15.80264,-47.86511,-15.79089,-47.87956,-15.79086,-47.88044,,,,COROLLA,2018,2019,PRETO,PBE-**50,,
TAXIGOV_DF_3,1364842,Presidência da República,26,DIRETA,ASCOM/SRI/PR,,CANCELADA,Reunião,,,,7.76,2024-07-15 16:28:02.080,2024-07-15 16:31:19.240,2024-07-15 16:37:39.217,2024-07-15 16:41:19.240,2024-07-15 16:48:16.340,2024-07-15 16:48:16.340,EIXO MONUMENTAL,,BRASILIA,DF,"Palacio do Planalto, Brasilia, DF",,-15.7964,-47.86991,-15.79905,-47.86077,,,,,,,2024,2025,,SSJ-**86,,
TAXIGOV_DF_3,1364839,Ministério do Meio Ambiente,1927,DIRETA,GM/MMA,,CONCLUÍDA,Reunião,,2.11,2.981,8.19,2024-07-15 16:25:33.150,2024-07-15 16:26:10.987,2024-07-15 16:32:48.120,2024-07-15 16:33:49.607,2024-07-15 16:40:33.630,,"ANEXO I (PALACIO DO PLANALTO   PRESIDENCIA DA REPUBLICA), PRACA DOS TRES PODERES",PA 1,BRASILIA,DF,"Ministerio do Meio Ambiente, Eixo Monumental, Brasilia, Distrito Federal","Ministerio do Meio Ambiente, Eixo Monumental, Brasilia, Distrito Federal",-15.79955,-47.85925,-15.79859,-47.87243,-15.79874,-47.87232,,,,,2021,2022,,REO-**84,,
TAXIGOV_DF_3,1364835,Ministério da Educação,244,DIRETA,STIC/MEC,,CONCLUÍDA,Reunião,,3.32,3.144,12.88,2024-07-15 16:22:39.550,2024-07-15 16:24:53.203,2024-07-15 16:29:16.533,2024-07-15 16:30:31.690,2024-07-15 16:36:43.683,,SGAS,ASA SUL,BRASILIA,DF,"Ministerio da Educacao - Anexo I, Brasilia, DF","Ministerio da Educacao - Anexo I, Brasilia, DF",-15.81501,-47.88775,-15.79362,-47.87239,-15.79344,-47.87287,,,,,2022,2023,,SGN-**06,,
