base_origem,qru_corrida,orgao_nome,orgao_codigo_siorg,orgao_categoria,unidade_administrativa_nome,unidade_administrativa_codigo_siorg,status,motivo,justificativa,km_total,km_rota_calculada,valor_corrida,data_abertura,data_despacho,data_local_embarque,data_inicio,data_final,data_cancelamento,origem_endereco,origem_bairro,origem_cidade,origem_uf,destino_solicitado_endereco,destino_efetivo_endereco,origem_latitude,origem_longitude,destino_solicitado_latitude,destino_solicitado_longitude,destino_efetivo_latitude,destino_efetivo_longitude,avaliacao_usuario_nota,avaliacao_usuario_texto,veiculo_fabricante,veiculo_modelo,veiculo_ano_fabricacao,veiculo_ano_modelo,veiculo_cor,veiculo_placa,ateste_setorial_data,conteste_info
TAXIGOV_DF_3,1361208,Presidência da República,26,DIRETA,SAM/CC/PR,,CONCLUÍDA,Reunião,,0.74,1.099,7.76,2024-07-11 09:36:42.440,2024-07-11 09:36:52.843,2024-07-11 09:39:28.677,2024-07-11 09:40:19.730,2024-07-11 09:41:59.080,,PALACIO DO PLANALTO,,BRASILIA,DF,"Ministerio de Minas e Energia - Bloco U, Brasilia, DF","Ministerio de Minas e Energia - Bloco U, Brasilia, DF",-15.79905,-47.86077,-15.79648,-47.86802,-15.79696,-47.86792,,,,,2022,2023,,SGO-**30,,
TAXIGOV_DF_ENTIDADES,1361199,Fundação Universidade de Brasília,470,INDIRETA,USG,16205,CONCLUÍDA,Transporte de documentos / materiais,,5.42,5.534,20.81,2024-07-11 09:33:46.727,2024-07-11 09:33:58.230,2024-07-11 09:37:53.223,2024-07-11 09:38:37.483,2024-07-11 09:48:24.867,,HOSPITAL UNIVERSITÁRIO DE BRASÍLIA,ASA NORTE,BRASÍLIA,DF,HOSPITAL DE BASE DO DISTRITO FEDERAL - ASA SUL - BRASÍLIA / DF,"SMHS BLOCO D, BLOCO D, ASA SUL, BRASILIA - DF, 70322-000, BRASIL",-15.77091,-47.87361,-15.80024,-47.88879,-15.80061,-47.88997,,,,SPIN,2021,22,BRANCA,REN-**88,,
TAXIGOV_DF_ENTIDADES,1361197,"Instituto Nacional de Metrologia, Qualidade e Tecnologia",240,INDIRETA,GABIN/INMETRO,,CANCELADA,Reunião,,,,7.4,2024-07-11 09:33:20.940,2024-07-11 09:36:27.573,2024-07-11 09:46:11.617,2024-07-11 09:36:27.573,2024-07-11 09:52:08.080,2024-07-11 09:52:08.080,SAINT MORITZ HPLUS EXPRESS,ASA NORTE,BRASILIA,DF,"Instituto Nacional de Metrologia, Qualidade e Tecnologia, Brasilia, DF",,-15.79045,-47.88463,-15.79429,-47.9117,,,,,,ONIX ,2022,2023,PRATA,SGN-**94,,
TAXIGOV_DF_ENTIDADES,1361194,Agência Nacional de Transportes Aquaviários,54843,INDIRETA,ARI,,CONCLUÍDA,Transporte de documentos / materiais,,18.59,0.009,68.78,2024-07-11 09:31:59.650,2024-07-11 09:32:09.220,2024-07-11 09:36:33.857,2024-07-11 10:29:01.157,2024-07-11 10:29:15.980,,SEPN 514 BL. D,BRASILIA,BRASILIA,DF,- ASA NORTE - BRASILIA,- ASA NORTE - BRASILIA,-15.7452,-47.89655,-15.74526,-47.89653,-15.74504,-47.89629,,,,VERSA,2021,2022,BRANCA,RET-**02,,
TAXIGOV_DF_ENTIDADES,1361190,Instituto Brasileiro de Museus,100584,INDIRETA,DDFEM/IBRAM,,CONCLUÍDA,Reunião,,7.1,4.01,26.27,2024-07-11 09:31:13.150,2024-07-11 09:33:11.710,2024-07-11 09:36:31.600,2024-07-11 09:36:41.837,2024-07-11 09:54:11.190,,EDIFICIO CNC III,ASA NORTE,BRASILIA,DF,- ASA SUL - BRASILIA,"SEPS 702/902, ASA SUL, BRASILIA - DF, 70390-025, BRASIL",-15.78875,-47.87842,-15.82776,-47.9249,-15.79936,-47.89706,,,,VIRTUS,2023,2024,PRATA,SGV-**43,,
TAXIGOV_DF_3,1361189,Ministério da Saúde,304,DIRETA,GAB/SAES,,CONCLUÍDA,Reunião,,3.48,3.137,13.5,2024-07-11 09:31:04.467,2024-07-11 09:31:15.777,2024-07-11 09:32:45.177,2024-07-11 09:33:50.000,2024-07-11 09:40:39.857,,"ESPLANADA DOS MINISTERIOS, BL. G",ASA SUL,BRASILIA,DF,"Organizacao Mundial da Saude, SEN, Asa Norte, Brasilia, DF","Organizacao Mundial da Saude, SEN, Asa Norte, Brasilia, DF",-15.80055,-47.86855,-15.78274,-47.86835,-15.78293,-47.86846,,,,,2023,2023,,SGU-**46,,
TAXIGOV_DF_ENTIDADES,1361178,Instituto Nacional de Colonização e Reforma Agrária,1799,INDIRETA,DAH-2.1/INCRA,,CONCLUÍDA,Transporte de documentos / materiais,,5.12,5.558,18.94,2024-07-11 09:25:47.140,2024-07-11 09:25:59.123,2024-07-11 09:27:53.997,2024-07-11 09:30:10.867,2024-07-11 09:38:39.330,,SBN QD. 1 BL. D,ASA NORTE,BRASILIA,DF,"SGO Q 5, Brasilia, DF","SGO Q 5, Brasilia, DF",-15.79096,-47.8794,-15.77632,-47.91151,-15.77718,-47.91166,,,,VIRTUS,2024,204,PRATA,SSI-**94,,
TAXIGOV_DF_ENTIDADES,1361167,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,1812,INDIRETA,COBIO/IBAMA,,CONCLUÍDA,Reunião,,19.04,17.735,70.45,2024-07-11 09:22:07.030,2024-07-11 09:22:24.280,2024-07-11 09:34:44.610,2024-07-11 09:36:11.753,2024-07-11 09:56:11.287,,AEROPORTO INTERNACIONAL DE BRASILIA,,BRASILIA,DF,"Ibama, Brasilia, Distrito Federal","IBAMA, ASA NORTE, BRASILIA - DF, BRASIL",-15.86997,-47.92097,-15.76624,-47.86238,-15.76753,-47.86151,,,,SIENA,2018,2018,PRATA,PBE-**98,,
TAXIGOV_DF_ENTIDADES,1361165,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,249,INDIRETA,GAB/INEP,,CONCLUÍDA,Reunião,,5.21,5.103,19.22,2024-07-11 09:21:30.033,2024-07-11 09:21:35.690,2024-07-11 09:24:31.270,2024-07-11 09:24:54.847,2024-07-11 09:37:38.660,,FUNDACAO ESCOLA SUPERIOR DO MINISTERIO PUBLICO DO DISTRITO FEDERAL E DOS TERRITORIOS,ASA SUL,BRASILIA,DF,"Instituto Nacional de Estudos e Pesquisas Educacionais, Brasilia, DF","Instituto Nacional de Estudos e Pesquisas Educacionais, Brasilia, DF",-15.80039,-47.89346,-15.788,-47.91424,-15.78729,-47.91425,,,,SPIN ACT,2022,2023,PRATA,SGR-**00,,
TAXIGOV_DF_ENTIDADES,1361164,Fundação Universidade de Brasília,470,INDIRETA,IH,,CONCLUÍDA,Serviço externo / técnico,,48.4,45.526,178.11,2024-07-11 09:21:19.060,2024-07-11 09:21:31.783,2024-07-11 09:22:31.593,2024-07-11 09:59:21.553,2024-07-11 10:50:29.827,,"ITAPOÃ, UPA",ITAPOA I,BRASILIA,DF,"SAMAMBAIA, - PA 38","SAMAMBAIA, - PA 38",-15.7544,-47.76949,-15.90855,-48.15613,-15.85482,-48.07359,5.0,,,VIRTUS,2018,2018,PRETA,PBG-**53,,
